Ultimate EUW Challenger Ornn OTP Matchups Sheet,,,,,
Makkro Ornn ONLY Coaching -> https://mfy.gg/@makkro OR DM ME ON DISCORD Makkro0 #1691,"""Im updating the bible on a daily basis because I use it myself"" - Makkro, The Messiah of Ornn","Written by Makkro
",Makkro Twitter,,
Syndra,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Unsealed Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,Dodge Her Q's and be wary of her E it can stop your ult and E. Poke with Q and W and punish her with Unsealed Spellbook and ganks
Tahm Kench,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching                                     Inspiration: Cookies, Boots
Attack Speed, Double MR",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP  ,Hard,Try to survive and fight behind minions w his w if you can't dodge or even better if you're fast enough w his ult. Short trades and poking will win you the lane
Taliyah,Even |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
AD, Double MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,W when she presses her W knockback thing and dont dash when in her E it will stun. Look for tripple brittle combos and youre good.
Talon,Win | W > E > Q | ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed > Double Armor",Doran's Shield > Bami's Cinder > Frozen Heart > Radiant Virtue,Medium,HE CAN KILL YOU LEVEL 2. After that easy matchup dont let him get 3 bleeds on you and you should be ok. 
Taric,Even | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Sorcery: Manaflow Band, Transcendence
Attack Speed, Armor, MR",Bami's Cinder > Radiant Virtue > Gargoyle if 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Scale and farm afk lane. Side step his E and stop comboing if he uses Ult.
Teemo,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflincing, Second Wind
AD, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy>medium,"Farm til 6 then combo if you catch him with a q use the bushes buy sweeper at 6 for mushrooms. Try to hit him when he's csing with your W and then follow with q and E and walk away. Really evasive matchup its all dependent on hitting your skillshots,"
Tristana,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Double Armor",Doran's Shield > Wardens Mail > Radiant Virtue > Buy Randuins when she gets crit or buy Frozen Heart First,Medium,Be careful of her level 1 and 2 she is really strong early on. Play from a distance and let her engage on you then do your combos and trades. Dont fight her in an extended trade she wins it
Trundle,Skill Trundle Favoured | W > E > Q ,"Resolve: Grasp, Demolish, Bone Plating, Unflinching
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bami's Cinder > Wardens Mail > Sunfire >  Radiant Virtue,Medium,AVOID LEVEL 1 AUTO ATTACK TRADES WITH LETHAL TEMPO. DO NOT USE E UNTIL HE USES PILLAR. BACK OFF WHEN HE USES ULT. ALWAYS KITE BACK FROM TRUNDLE EVEN IF YOU ARE HIGHER HP. 
Tryndamere,Skill | W > E > Q | ,"Resolve: Grasp, Demolish, Bone Plating, Overgrowth
Inspiration: Biscuits, Boots
Attack Speed, 2 Armor",Doran's Shield > Warden's Mail > Bami's Cinder > Randuins > Radiant Virtue,Annoying Wave Management Heavy,Don't fight lvl 1 never let him melee after you use your 1st q and you're good rush Steelcaps if you want
Twisted Fate,Even |  3 Points into Q > W > E ,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
AD, Magic Resist, Armor",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Dont get poked level 1. Do short trades and ping his roams.
Udyr,Even | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Boots
Attack Speed, Armor, MR",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient > Gargoyle if 2 AP Or Force of Nature > Radient Virtue if they have 3 AP if hes also going for AD build go Bamis Cinder > Wardens Mail > Sunfire > Radiant Virtue if hes AD,Easy,He is very strong his E can deny your Combo cuz CC immune. His W shield is big you wait it out. His bird form does aoe avoid it a lot of damage. Punish when his red bar is gone (passive). Dont fight in his phoenix form.
Urgot,Win |  3 Points into Q > W > E > Finish Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Magical Footwear, Biscuits
1 Adaptive Force , 2 Armor","Doran's Shield > Warden's Mail > Thornmail > Radiant Virtue, you can Jak'Sho too if enemy doesnt have a way to kill tanks ",Medium,Short trades w his e and make sure to poke him with qs
Varus,Win |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Armor, MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  or Frozen Heart Radiant Virtue if he is AD,Medium,Dont let him auto you too much or his next ability deals bonus damage. His ult roots you so be careful when youre comboing him
Vayne,Skill |  3 Points into Q > W > E | ,"Inspiration: Unsealed Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force , 2 Armor",Doran's Shield > Frozen Heart > Radiant Virtue,Medium High,You won't really have kill potential until lvl 6 just try to punish her by staying in bushes so she wastes a ward to auto to farm and punish her offensive qs by doing your bread and butter combo and focus her down in teamfights but using the bushes is the most important part of the lane
Veigar,Even |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,E away when he cages and look for all ins with ULT
Vel'koz,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Hard,Dont get hit by his 3 part passive it will do true damage
Vex,Even |   3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Force of Nature > Radient Virtue if 3 AP,Easy,Dodge her Q it takes very long to cast. Watch out for her fear it can cancell your E and your Ult.
Vi,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Boots
Attack Speed, 2 Armor",Doran's Shield > Bami's Cinder > Wardens Mail > Sunfire > Radiant Virtue,Easy,Be aware of her E poke. W her Q.
Viego,Skill | W > E > Q | ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bami's Cinder > Bramble > Sunfire > Radiant Virtue,Easy,Dont let him proc his autos after he Q's. You can W his stun so that you can auto brittle after it runs out. His ult can dodge or lower the brittle damage since hes unstoppable so try to bait it out.
Viktor,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,When he Qs wait for his shield to drop do not stay still when Ulting he will W and stop you. Play around bushes and you should be fine
Vladimir,Skill | W > E > Q ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Magic Resist",Doran's Shield > Executioner > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Executioner > Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,You have to play super aggressive and don't let him farm or scale like youre gonna be out of your comfort zone aggressive lvl 1 try to run him down with autos and Sunfire Aegis you have to never let him heal or cs safely or he will murder your team.
Volibear,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Magical Footwear, Biscuits
Attack Speed, Armor, MR",Doran's Shield > Bami's Cinder > Wardens Mail > Sunfire > Radiant Virtue,Medium,Never let him get his w off and always kite and short trades. 
Warwick,Skill | W > E > Q | ,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
Attack Speed, Armor, MR",Doran's Shield > Bramble Vest > Ruby Crystal > Aegis > Radiant Virtue,Hard ,"NEVER BE IN MELEE always kite back and make your combos short so he doesn't heal from you. He will not die to you, stop trying to get in melee for that last hit."
Wukong,Win | W > E > Q | ,"Resolve: Grasp, Demolish, Bone Plating, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bami's Cinder > Wardens Mail > Sunfire > Radiant Virtue,Medium,Avoid level 1 trades and you just win. Short trades only dont all in him at lvl 6 if you're both full he wins it Just poke and ult him at 60%
Xerath,Win |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,This is a dodgeball matchup. Whoever dodges the poke more wins. Spam Q and be aggressive and force your ult at 6 for his cooldowns (flash).
Xin Zhao,Win |  W >  E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bamis Cinder > Wardens Mail > Sunfire > Radiant Virtue,Easy,W his third auto attack from his Q and poke him down
Yasuo,Skill | 3 Points Into Q > W > E > Finish Q | ,"Resolve: Grasp, Demolish, Second Wind , Overgrowth
Inspiration: Boots, Biscuits
Attack Speed, 2 Armor",Doran's Shield > Wardens > Boots > Bramble > Radiant Virtue ,Medium,His windwall completely negates your ult. Try to get prio lvl 1 and push and punish his early. Don't use your ult until he uses windwall. Stay near the walls for e CC
Yone,Skill | 3 Points Into Q > W > E > Finish Q | ,"Resolve: Grasp, Demolish, Second Wind , Overgrowth
Inspiration: Cosmic Insight, Biscuits
AD, 2 Armor",Doran's Shield > Wardens > Boots > Bramble > Radiant Virtue ,Medium,W his Q3 or QW it to win short trades. If he ults you W backwards because when he ults he appears behind you like jax Q so he gets hit by brittle. Kite away when he uses E and stick to walls for a knockup. Look to Q R E R combo if he Q3 into you after 6.
Yorick,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bami's Cinder > 2 Cloths > Sunfire > Executioner when he gets healing items > Radiant Virtue,Medium high(annoying),Your e destroys his cage make sure to side step his skill shot very oppressive champion
Yuumi,Win |  3 Points into Q > W > E > Finish Q ,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Bruh get some bitches how you lose to yummi 💀💀💀💀💀💀💀
Zac,Win | W > E > Q | ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Sorcery: Manaflow Band, Transcendence
Attack Speed, Double MR",Doran's Shield > Bami's Cinder > Executioner > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP Or Bamis Cinder > Executioner > Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,W his Q or E and play with poke youre stronger than him 99% of the time if you play your combos right.
Zed,Win |  3 Points into Q > W > E > Finish Q | ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
AD > Double Armor",Doran's Shield > Bami's Cinder > Wardens Mail > Sunfire > Radiant Virtue,Medium,"Be wary of his level 3 damage. Side step his Q,s and his level 6 All in. Dash instantly away after he ults you and create distance. If you ult him know that he is gonna try to go to one of his shadows so predict that"
Zeri,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Armor, HP",Doran's Shield > Anathema > Radiant Virtue,Hard,Poke her with Q and play around her dash to try and combo her. You don't really have kill potential so just scale and walk away when her energy bar thing is charged up because it will do magic damage. Take Armor and HP in runes and build HP she does mixed damage so HP is the best way to counter her. And frozen heart works really well too. Don't Chase her when she ults or in general keep trades short with Q and Peel Back.
Ziggs,Even |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,Just farm and poke dont get hit by his Q on minions. Your W denies his W knockback
Zilean,Even |   3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,Just Farm and poke with Q and dont stay near minions he will double bomb them and stun you. Walk into him when he Q's he will assume youre running away so you run into him to dodge the bombs.
Zoe,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,YOUR W STOPS DROWSY. Right when its at the end of the drowsy duration you press W and it doesnt work. Stay behind minions and poke from there.
